time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume,high,low,open,close,volumefrom,volumeto
2022-12-21 05:00:00,19410144.77,265546851.17,284956995.94,9678507.18,158320892.87,167999568.72,1315151623.04,318597828.54,1633749451.58,24225.96,16881.98,16856.9,16872.5,16866.8,686.94,11589273.68
2022-12-21 06:00:00,19589263.03,277393715.35,296982978.39,9219559.13,171504766.8,180724325.93,1237470689.8,331545563.09,1569016421.71,26240.49,16887.99,16856.85,16866.8,16881.62,731.01,12332919.79
2022-12-21 07:00:00,19597160.49,332205162.6,351802323.09,10025917.68,219930949.77,229956867.45,1266345460.49,380937383.56,1647282844.06,27643.1,16884.8,16839.59,16881.62,16839.81,1204.95,20310170.18
2022-12-21 08:00:00,22011046.96,362503506.01,384514552.97,12150282.57,252853611.95,265003894.52,1263663249.58,405772030.05,1669435279.63,33526.01,16853.82,16822.56,16839.81,16847.08,1473.23,24806215.41
2022-12-21 09:00:00,26388872.88,677532178.84,703921051.72,13988634.66,523560315.48,537548950.14,1261133711.7,734496339.86,1995630051.56,58145.77,16897.31,16759.05,16847.08,16790.66,3917.71,65977215.1
2022-12-21 10:00:00,22262033.7,607496893.5,629758758.64,11586876.55,447465107.53,459051984.08,992947720.29,647376737.43,1640324457.72,45990.38,16868.37,16789.72,16790.66,16855.6,3677.42,61887731.13
2022-12-21 11:00:00,21963015.38,458458592.65,480421608.03,11113497.37,312257353.4,323370850.77,900729306.11,484965344.33,1385694650.44,35786.44,16865.12,16792.18,16855.6,16792.58,2335.56,39287073.72
2022-12-21 12:00:00,18117598.3,373172322.15,391289920.46,9606474.81,251281661.56,260887968.24,1126428523.97,395890564.1,1522319088.07,30659.24,16816.83,16780.81,16792.58,16812.76,1988.41,33412403.76
2022-12-21 13:00:00,17734629.3,336647865.54,354382494.84,8187615.63,213314518.01,221502301.53,973295420.75,359234154.05,1332529574.8,24808.92,16831.53,16783.08,16812.76,16788.91,1753.19,29461526.39
2022-12-21 14:00:00,18198262.93,375707856.8,393906119.73,8201222.27,251461483.84,259662706.11,1062964821.52,398383686.86,1461348508.38,27974.08,16804.11,16744.06,16788.91,16753.6,2083.19,34943721.71
2022-12-21 15:00:00,18542165.2,368348417.92,386890583.12,8807612.37,235531308.1,244338920.47,1085217386.56,389613177.06,1474830395.82,28213.59,16780.24,16737.8,16753.6,16780.24,1946.73,32624537.0
2022-12-21 16:00:00,17714294.55,307928973.39,325643267.94,8103906.54,192549920.86,200653827.4,1172222887.55,326749666.33,1498972553.89,24913.27,16797.25,16762.37,16780.24,16789.05,1845.83,30977013.57
