time,high,low,open,close,volumefrom,volumeto
2023-05-28 01:00:00,27193.44,27139.54,27179.55,27177.62,267.71,7272619
2023-05-28 02:00:00,27235.05,27177.62,27177.62,27195.75,236.74,6440644.3
2023-05-28 03:00:00,27236.33,27193.61,27195.75,27235.27,188.99,5143458.23
2023-05-28 04:00:00,27243.82,27196.07,27235.27,27212.85,426.03,11598657.2
2023-05-28 05:00:00,27214.65,27155.49,27212.85,27169.37,424.42,11535852.33
2023-05-28 06:00:00,27230.04,27157.55,27169.37,27226.71,241.42,6567838.8
2023-05-28 07:00:00,27331.94,27166.78,27226.71,27169.43,695.41,18949601.42
2023-05-28 08:00:00,27195.32,27123.22,27169.43,27150.32,334.81,9092193.5
2023-05-28 09:00:00,27235.19,27150.14,27150.32,27190.5,362.54,9858250.22
2023-05-28 10:00:00,27242.82,27184.69,27190.5,27200.96,338.99,9226954.88
2023-05-28 11:00:00,27287.7,27185.22,27200.96,27284.63,391.99,10680331
2023-05-28 12:00:00,27342.7,27240.68,27284.63,27264.91,695.98,18997336.78
2023-05-28 13:00:00,27403.86,27229.98,27264.91,27359.8,893.84,24434429.92
2023-05-28 14:00:00,27727.86,27328.65,27359.8,27597.27,2590.96,71466196.26
2023-05-28 15:00:00,27636.46,27494.14,27597.27,27536.94,838.84,23138343.32
2023-05-28 16:00:00,27599.94,27536.93,27536.94,27568.73,382.39,10544413.32
2023-05-28 17:00:00,27961.95,27557.23,27568.73,27848.43,1550.59,43056345.01
2023-05-28 18:00:00,28171.83,27848.43,27848.43,28099.5,2209.2,62026786.44
2023-05-28 19:00:00,28249.51,28059.98,28099.5,28077.57,1694.42,47676768.82
2023-05-28 20:00:00,28450.88,28077.57,28077.57,28202.57,4286.2,121194286.91
2023-05-28 21:00:00,28224.16,28147.66,28202.57,28179.5,926.91,26123754.55
2023-05-28 22:00:00,28189.19,28105.92,28179.5,28106.19,525.86,14802804.43
2023-05-28 23:00:00,28141.38,27934.08,28106.19,27966.32,1293.94,36283147.85
2023-05-29 00:00:00,28013.59,27869.86,27966.32,27953.17,811.52,22667243.63
2023-05-29 01:00:00,28056.54,27944.98,27953.17,28004.52,661.6,18531909.11
2023-05-29 02:00:00,28049.04,27996.37,28004.52,28012.92,384.18,10764910.48
2023-05-29 03:00:00,28013.14,27850.31,28012.92,27912.94,502.41,14024365.14
2023-05-29 04:00:00,27952.27,27860.21,27912.94,27907.83,345.93,9656034.81
2023-05-29 05:00:00,27947.88,27864.95,27907.83,27942.94,282.41,7881678.67
2023-05-29 06:00:00,27974.42,27769.5,27942.94,27864.89,785.61,21899561.99
2023-05-29 07:00:00,27945.15,27848.79,27864.89,27923.24,341.48,9528074.91
2023-05-29 08:00:00,27955.12,27873.45,27923.24,27889.14,346.75,9675564.97
2023-05-29 09:00:00,27947.74,27874.9,27889.14,27914.62,428.31,11955152.58
2023-05-29 10:00:00,27940.19,27722.19,27914.62,27792.41,841.24,23404165.11
2023-05-29 11:00:00,27847.67,27608.99,27792.41,27639.65,2126.13,58883364.76
2023-05-29 12:00:00,27681.8,27559.62,27639.65,27611.13,1538.82,42500155.26
2023-05-29 13:00:00,27736.45,27546.65,27611.13,27701.7,1328.19,36724533.92
2023-05-29 14:00:00,27728.88,27625.75,27701.7,27650.44,706.04,19546606.5
2023-05-29 15:00:00,27710.64,27640.8,27650.44,27651.52,458.08,12677678.25
2023-05-29 16:00:00,27708.32,27640.48,27651.52,27694.14,414.16,11462123.12
2023-05-29 17:00:00,27730.8,27660.45,27694.14,27679.07,388.37,10756573.72
2023-05-29 18:00:00,27699.57,27573.05,27679.07,27699.57,878.96,24284525.59
2023-05-29 19:00:00,27811.86,27692.68,27699.57,27746.07,1041.9,28933483.14
2023-05-29 20:00:00,27780.62,27606.66,27746.07,27721.46,690.66,19136551.1
2023-05-29 21:00:00,27802.1,27709.47,27721.46,27776.94,551.8,15320705.86
2023-05-29 22:00:00,27800.12,27732.44,27776.94,27790.03,336.21,9334876.27
2023-05-29 23:00:00,27932.04,27781.25,27790.03,27837.97,940.98,26217379.91
2023-05-30 00:00:00,27862.1,27776.11,27837.97,27785.42,422.07,11738766.96
2023-05-30 01:00:00,27786.8,27686.67,27785.42,27762.79,733.67,20352843.09
2023-05-30 02:00:00,27826.14,27761.72,27762.79,27806.59,346.43,9629273.71
2023-05-30 03:00:00,27849.12,27739.29,27806.59,27742.94,524.08,14564161.04
2023-05-30 04:00:00,27822.56,27726.59,27742.94,27795.38,650.16,18060315.75
2023-05-30 05:00:00,27905.13,27795.38,27795.38,27864.68,617,17189352.24
2023-05-30 06:00:00,28044.58,27864.68,27864.68,27917.34,1608.76,45012982.02
2023-05-30 07:00:00,28052.68,27880.58,27917.34,28043.45,1415.8,39617212.2
2023-05-30 08:00:00,28045.3,27824.98,28043.45,27920.94,1907.04,53293072.94
2023-05-30 09:00:00,27985.72,27786.06,27920.94,27821.66,1806.28,50431674.13
2023-05-30 10:00:00,27876.16,27630.36,27821.66,27630.68,2399.14,66557742.02
2023-05-30 11:00:00,27739.91,27625.11,27630.68,27682.39,1484.56,41108453.5
2023-05-30 12:00:00,27746.78,27568.98,27682.39,27719.58,1542.74,42702544.77
2023-05-30 13:00:00,27783.14,27638.17,27719.58,27713.28,961.06,26629536.08
2023-05-30 14:00:00,27807.04,27676.75,27713.28,27779.61,1116.85,30993622.75
2023-05-30 15:00:00,27872.82,27763.94,27779.61,27860.86,1209.9,33656908.84
2023-05-30 16:00:00,27871.4,27773.78,27860.86,27774.37,697.23,19397504.53
2023-05-30 17:00:00,27851.39,27681.89,27774.37,27733.4,722.19,20058781.16
2023-05-30 18:00:00,27766.92,27671.26,27733.4,27745.74,584.4,16197462.01
2023-05-30 19:00:00,27750.51,27686.35,27745.74,27703.56,346.79,9612426.18
2023-05-30 20:00:00,27765.79,27671.61,27703.56,27762.97,408.53,11322326.84
2023-05-30 21:00:00,27836.82,27746.2,27762.97,27749.94,506.3,14068666.93
2023-05-30 22:00:00,27749.95,27596.74,27749.94,27684.38,998.36,27619721.8
2023-05-30 23:00:00,27695.04,27612.44,27684.38,27662.62,582.7,16118611.8
2023-05-31 00:00:00,27687.1,27266.45,27662.62,27270.06,2695.48,73962470.63
2023-05-31 01:00:00,27282.22,27035.03,27270.06,27092.97,3143.92,85355072.02
2023-05-31 02:00:00,27193.28,27000.33,27092.97,27172.27,1247.51,33813759.22
2023-05-31 03:00:00,27217.9,27130.5,27172.27,27175.61,839.11,22802226.14
2023-05-31 04:00:00,27209.82,27114.26,27175.61,27144.66,646.76,17566948.32
2023-05-31 05:00:00,27164.35,27064.71,27144.66,27142.13,636.77,17270134.74
2023-05-31 06:00:00,27154.41,27056.75,27142.13,27066.31,514.94,13955519.18
2023-05-31 07:00:00,27139.72,27007.38,27066.31,27105.56,719.66,19494399.88
